title,company,salary,location,link,platform
Principal Software Engineer,SimpliSafe,196000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-simplisafe-JV_IC1154532_KO0,27_KE28,38.htm?jl=1009553044506",G
Motion Planning Engineer,Anduril Industries,195000.0,"Boston, MA","https://www.glassdoor.com/job-listing/motion-planning-engineer-anduril-industries-JV_IC1154532_KO0,24_KE25,43.htm?jl=1009551656812",G
Senior Software Engineer - Tracking & Estimation,Anduril Industries,195000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-tracking-estimation-anduril-industries-JV_IC1154532_KO0,44_KE45,63.htm?jl=1009551656891",G
.Principal Backend Engineer - Distributed Systems,Context Labs,194000.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/principal-backend-engineer-distributed-systems-context-labs-JV_IC1154545_KO0,46_KE47,59.htm?jl=1009530268841",G
"Solutions Engineer, Software (Investments Technology)",Liberty Mutual,194000.0,"Boston, MA","https://www.glassdoor.com/job-listing/solutions-engineer-software-investments-technology-liberty-mutual-JV_IC1154532_KO0,50_KE51,65.htm?jl=1009534978504",G
"Associate Manager, Software Engineering","Red Hat, Inc.",192000.0,"Boston, MA","https://www.glassdoor.com/job-listing/associate-manager-software-engineering-red-hat-inc-JV_IC1154532_KO0,38_KE39,50.htm?jl=1009539078342",G
"Distinguished Software Engineer, Detection & Response",Rapid7,190500.0,"Boston, MA","https://www.glassdoor.com/job-listing/distinguished-software-engineer-detection-response-rapid7-JV_IC1154532_KO0,50_KE51,57.htm?jl=1009524714803",G
"Senior Software Engineer, Product Security",Klaviyo,190000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=2c9e563e68828a0e&bb=3IMiwhj0uu0eVZF2KWEHXuCjQmwR8VLmBMXQWq80IVJdTqBvtenlex0-34mXBCS70D-qyliUtGBoTxLVF0lbwNuyr0rVjF3JfD7kKWrx14xFIN_lnFYTULd-g7Te5ZHW&xkcb=SoBc67M34Yx9s2S4SZ0JbzkdCdPP&fccid=398c4fa163ac001f&vjs=3,I
Senior Software Engineer - Infrastructure,Veeva Systems,190000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=c2398af050744e35&bb=sKyYXr9FtovrtM80mjdUxWr6cZ8t5xrl6pcmTuPxZ_XUMcI_vj39fRx9GUzSzyS9TESboaknRDGZvgjBSVtStsmmXDJeqXsNEgmetqKBuN9CcnFIA2h6HE6OujLxoLZF&xkcb=SoBT67M34Yxrrc20Dp0BbzkdCdPP&fccid=353eb997fc901045&vjs=3,I
"Engineering Manager, Android Engineering",Axon,190000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=cb5349814857c7d5&bb=KAtwAgwAOcCkjfFTrzu3lMoPxrUvXDf8FrX_v4-30uK3eQKTLndMIPvi2l_o159UbxKZoxjVoVZ7TT0FqsvU1blBisIUVuBDmH9xWS2a48ceotPZLoFExjwjV9iNMOH4&xkcb=SoCT67M34YxpHf2oJh0NbzkdCdPP&fccid=72b6c36250909407&vjs=3,I
Senior Software Engineer - Full Stack,Veeva Systems,190000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-full-stack-veeva-systems-JV_IC1154532_KO0,35_KE36,49.htm?jl=1007769265400",G
Senior Software Engineer - Java,Veeva Systems,190000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-java-veeva-systems-JV_IC1154532_KO0,29_KE30,43.htm?jl=1007769265402",G
Senior Software Engineer - Front End,Veeva Systems,190000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-front-end-veeva-systems-JV_IC1154532_KO0,34_KE35,48.htm?jl=1007769265633",G
Senior DevOps Engineer - Observability,EvolutionIQ,190000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-devops-engineer-observability-evolutioniq-JV_IC1154532_KO0,36_KE37,48.htm?jl=1009529713652",G
"Staff Software Engineer (Backend, Platform)",WHOOP,189500.0,"Boston, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-backend-platform-whoop-JV_IC1154532_KO0,40_KE41,46.htm?jl=1009457456112",G
"Sr. Software Engineer, High Performance Computing","Amazon Development Center U.S., Inc.",189000.0,"Boston, MA","https://www.glassdoor.com/job-listing/sr-software-engineer-high-performance-computing-amazon-development-center-us-inc-JV_IC1154532_KO0,47_KE48,80.htm?jl=1009542167662",G
Software Engineering Manager-Platform - Surgical Robotics,Medtronic,188000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-platform-surgical-robotics-medtronic-JV_IC1154532_KO0,55_KE56,65.htm?jl=1009529370461",G
Software Engineering Manager - Surgical Robotics,Medtronic,188000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-surgical-robotics-medtronic-JV_IC1154532_KO0,46_KE47,56.htm?jl=1009379434850",G
