title,company,salary,location,link,platform
Software Engineer - Perception,Zoox,212500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-perception-zoox-JV_IC1154532_KO0,28_KE29,33.htm?jl=1009338918024",G
Software Engineer - Perception,Zoox,212500.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=a52802681a8223ca&bb=SbgwLHXAmMHAj9__04owxrhZcnXhh8A6zp5J485VOr9NDXb_U70Mwry45xx55tNSV0PY1u0Sry7YciSVLL5dcPx_eFFBT25LzQLh-j3wAmHpaec466-Lyo4TqBnhFJ3A&xkcb=SoAV67M34ZLajZW0Dp0GbzkdCdPP&fccid=44f9aa469b1c1a0c&vjs=3,I
"Senior Software Engineer, Observability",Roku,211500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-observability-roku-JV_IC1154532_KO0,38_KE39,43.htm?jl=1009400989774",G
Senior Software Engineer,Anduril Industries,210000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=ac3b5387f4f8571b&bb=D-Xq0eHQHLSZDLPzbqvvi45oCPzUizIRDu3AuGKYozPoAAN1ZtZ_hG27SuHYV3Um7GU-sxPdCeLEz-Jyu4msWerMX1tjyiU4KSqSa68G4WckSKgenqcRp2De8YkUEEW2&xkcb=SoBZ67M34ZLfWi20Dp0NbzkdCdPP&fccid=3f7b0eacc8de6549&vjs=3,I
Senior Frontend Software Engineer,Anduril Industries,210000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=4c1602a14f8609fe&bb=KMIZ9ydoVErLu67BeBY3AuZq7w6H4eppDCqcgar0Mq-4ppzxbrpR1AMn1pbEMP81ZcdjaWrqF6ew9SliqUrI2M_l8ms8ektIvLsF2zsfRDU_3c8TKnHpb9wNF8vTVmjj&xkcb=SoAi67M34ZLExZS4SZ0PbzkdCdPP&fccid=3f7b0eacc8de6549&vjs=3,I
Senior Software Engineer,Anduril Industries,210000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=20879004e1760351&bb=6FS8l63Ol-rUqBFGqJt12mwbQjR1gGFu_hvXV3g6NjSXMJpkMYu48bD139S3aFPHk_uQodZ3P609pqCw6114KxdDLS_ilPZX1-AdRw5ZuyUEdyj-scRyPD7yaSEVgGKI&xkcb=SoAW67M34ZLD3k2TSR0BbzkdCdPP&fccid=3f7b0eacc8de6549&vjs=3,I
Senior Software Engineer,Anduril Industries,210000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-anduril-industries-JV_IC1154532_KO0,24_KE25,43.htm?jl=1009551657033",G
Senior Software Engineer - Real Time Systems,Anduril Industries,210000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-real-time-systems-anduril-industries-JV_IC1154532_KO0,42_KE43,61.htm?jl=1009551656797",G
.Principal Software Engineer - AI Engineering,Context Labs,209500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-ai-engineering-context-labs-JV_IC1154545_KO0,42_KE43,55.htm?jl=1009300545954",G
Senior / Principal Gameplay Engineer,CD PROJEKT RED,209500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-principal-gameplay-engineer-cd-projekt-red-JV_IC1154532_KO0,34_KE35,49.htm?jl=1009346897016",G
"Staff Software Engineer, Embedded Applications (R2655)",SHIELD AI,208000.0,"Boston, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-embedded-applications-r2655-shield-ai-JV_IC1154532_KO0,51_KE52,61.htm?jl=1009150893333",G
"Technical Lead I, Front End - Fintech",HubSpot,206900.0,"Remote in Cambridge, MA",https://www.indeed.com/rc/clk?jk=e3284e3c8d6832b1&bb=iPQYdqV9gYgzsm7lYMwJW15jmAv3LrI80u4j8bXKeiMBWmJS2fmivmPbX5VCpA8ijMcrSdmYEeLJfzO9igWaON61oqR4wXpiPZ7oQJ0Vt77exeRQziClRaO7dlGAtouJ&xkcb=SoDL67M34ZLF-jgTC70HbzkdCdPP&fccid=21bb811abc2058c6&vjs=3,I
"Staff Software Engineer, Frontend",Suno,205000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=1b3f2f6870bd0285&bb=_dl7n0mnMDPDUFeOnr4OoSoV-jqwXvC6RyVQ7N4tUv4MGZAzdv84IEM4zMRz1oSmpAv06yRtZnlZj30K8NixolSmTXDT5SM1RlgL6YrbVOXLZZw_HjWLU7TLjqiUg6pg&xkcb=SoCd67M34ZLDZQgTC70MbzkdCdPP&fccid=a166cd977763c895&vjs=3,I
